Época [1/20] - Perdida entrenamiento: 481880738906.1120, Precision: 0.0000 - Perdida validador: 536955833622.0831, Precision validador: 0.0000
Época [2/20] - Perdida entrenamiento: 468337171955.7120, Precision: 0.0000 - Perdida validador: 554405347799.1055, Precision validador: 0.0000
Época [3/20] - Perdida entrenamiento: 494872139687.5264, Precision: 0.0000 - Perdida validador: 855947577350.5431, Precision validador: 0.0000
Época [4/20] - Perdida entrenamiento: 455666444592.7424, Precision: 0.0000 - Perdida validador: 832042622675.0160, Precision validador: 0.0000
Época [5/20] - Perdida entrenamiento: 450547903863.1936, Precision: 0.0000 - Perdida validador: 821955384133.5208, Precision validador: 0.0000
Época [6/20] - Perdida entrenamiento: 447694510433.8944, Precision: 0.0000 - Perdida validador: 817161679005.0352, Precision validador: 0.0000
Época [7/20] - Perdida entrenamiento: 453871338702.4384, Precision: 0.0000 - Perdida validador: 865276385757.6486, Precision validador: 0.0000
Época [8/20] - Perdida entrenamiento: 443325882705.5104, Precision: 0.0000 - Perdida validador: 845466969137.0735, Precision validador: 0.0000
Época [9/20] - Perdida entrenamiento: 440708137343.3856, Precision: 0.0000 - Perdida validador: 832293596699.8083, Precision validador: 0.0000
Época [10/20] - Perdida entrenamiento: 436190649221.1200, Precision: 0.0000 - Perdida validador: 819812584948.5496, Precision validador: 0.0000
Época [11/20] - Perdida entrenamiento: 434837037767.0656, Precision: 0.0000 - Perdida validador: 836965960661.4696, Precision validador: 0.0000
Época [12/20] - Perdida entrenamiento: 429333491033.7024, Precision: 0.0000 - Perdida validador: 815567826957.0863, Precision validador: 0.0000
Época [13/20] - Perdida entrenamiento: 425358154088.4480, Precision: 0.0000 - Perdida validador: 812938919517.2396, Precision validador: 0.0000
Época [14/20] - Perdida entrenamiento: 421567554912.2560, Precision: 0.0000 - Perdida validador: 808203135414.3898, Precision validador: 0.0000
Época [15/20] - Perdida entrenamiento: 421465908088.0128, Precision: 0.0000 - Perdida validador: 815462624468.6517, Precision validador: 0.0000
Época [16/20] - Perdida entrenamiento: 416024215383.2448, Precision: 0.0000 - Perdida validador: 830184519385.5591, Precision validador: 0.0000
Época [17/20] - Perdida entrenamiento: 411638717518.6432, Precision: 0.0000 - Perdida validador: 821471815647.2843, Precision validador: 0.0000
Época [18/20] - Perdida entrenamiento: 410310561497.0880, Precision: 0.0000 - Perdida validador: 824618704915.6294, Precision validador: 0.0000
Época [19/20] - Perdida entrenamiento: 411911557832.7040, Precision: 0.0000 - Perdida validador: 851692073679.7444, Precision validador: 0.0000
Época [20/20] - Perdida entrenamiento: 400699835591.8848, Precision: 0.0000 - Perdida validador: 866615091258.8882, Precision validador: 0.0000
