Época [1/50] - Perdida entrenamiento: 0.2787, Precision: 0.0108 - Perdida validador: 0.1850, Precision validador: 0.0000
Época [2/50] - Perdida entrenamiento: 0.1713, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [3/50] - Perdida entrenamiento: 0.1665, Precision: 0.0000 - Perdida validador: 0.1638, Precision validador: 0.0000
Época [4/50] - Perdida entrenamiento: 0.1662, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [5/50] - Perdida entrenamiento: 0.1769, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [6/50] - Perdida entrenamiento: 0.1825, Precision: 0.0000 - Perdida validador: 0.1650, Precision validador: 0.0000
Época [7/50] - Perdida entrenamiento: 0.1755, Precision: 0.0000 - Perdida validador: 0.1664, Precision validador: 0.0000
Época [8/50] - Perdida entrenamiento: 0.1665, Precision: 0.0000 - Perdida validador: 0.1666, Precision validador: 0.0000
Época [9/50] - Perdida entrenamiento: 0.1667, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [10/50] - Perdida entrenamiento: 0.1764, Precision: 0.0000 - Perdida validador: 0.1633, Precision validador: 0.0000
Época [11/50] - Perdida entrenamiento: 0.1775, Precision: 0.0000 - Perdida validador: 0.1661, Precision validador: 0.0000
Época [12/50] - Perdida entrenamiento: 0.1661, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [13/50] - Perdida entrenamiento: 0.1762, Precision: 0.0000 - Perdida validador: 0.1649, Precision validador: 0.0000
Época [14/50] - Perdida entrenamiento: 0.1776, Precision: 0.0000 - Perdida validador: 0.1655, Precision validador: 0.0000
Época [15/50] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [16/50] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1659, Precision validador: 0.0000
Época [17/50] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [18/50] - Perdida entrenamiento: 0.1716, Precision: 0.0000 - Perdida validador: 0.1643, Precision validador: 0.0000
Época [19/50] - Perdida entrenamiento: 0.1660, Precision: 0.0000 - Perdida validador: 0.1647, Precision validador: 0.0000
Época [20/50] - Perdida entrenamiento: 0.1760, Precision: 0.0000 - Perdida validador: 0.1641, Precision validador: 0.0000
Época [21/50] - Perdida entrenamiento: 0.1661, Precision: 0.0000 - Perdida validador: 0.1639, Precision validador: 0.0000
Época [22/50] - Perdida entrenamiento: 0.1768, Precision: 0.0000 - Perdida validador: 0.1639, Precision validador: 0.0000
Época [23/50] - Perdida entrenamiento: 0.1763, Precision: 0.0000 - Perdida validador: 0.1641, Precision validador: 0.0000
Época [24/50] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1648, Precision validador: 0.0000
Época [25/50] - Perdida entrenamiento: 0.1668, Precision: 0.0000 - Perdida validador: 0.1646, Precision validador: 0.0000
Época [26/50] - Perdida entrenamiento: 0.1761, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [27/50] - Perdida entrenamiento: 0.1768, Precision: 0.0000 - Perdida validador: 0.1647, Precision validador: 0.0000
Época [28/50] - Perdida entrenamiento: 0.1659, Precision: 0.0000 - Perdida validador: 0.1635, Precision validador: 0.0000
Época [29/50] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [30/50] - Perdida entrenamiento: 0.1655, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [31/50] - Perdida entrenamiento: 0.1662, Precision: 0.0000 - Perdida validador: 0.1647, Precision validador: 0.0000
Época [32/50] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1647, Precision validador: 0.0000
Época [33/50] - Perdida entrenamiento: 0.1760, Precision: 0.0000 - Perdida validador: 0.1650, Precision validador: 0.0000
Época [34/50] - Perdida entrenamiento: 0.1662, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [35/50] - Perdida entrenamiento: 0.1710, Precision: 0.0000 - Perdida validador: 0.1640, Precision validador: 0.0000
Época [36/50] - Perdida entrenamiento: 0.1762, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
Época [37/50] - Perdida entrenamiento: 0.1657, Precision: 0.0000 - Perdida validador: 0.1650, Precision validador: 0.0000
Época [38/50] - Perdida entrenamiento: 0.1671, Precision: 0.0000 - Perdida validador: 0.1645, Precision validador: 0.0000
Época [39/50] - Perdida entrenamiento: 0.1759, Precision: 0.0000 - Perdida validador: 0.1641, Precision validador: 0.0000
Época [40/50] - Perdida entrenamiento: 0.1666, Precision: 0.0000 - Perdida validador: 0.1650, Precision validador: 0.0000
Época [41/50] - Perdida entrenamiento: 0.1771, Precision: 0.0000 - Perdida validador: 0.1652, Precision validador: 0.0000
Época [42/50] - Perdida entrenamiento: 0.1658, Precision: 0.0000 - Perdida validador: 0.1637, Precision validador: 0.0000
Época [43/50] - Perdida entrenamiento: 0.1860, Precision: 0.0000 - Perdida validador: 0.1653, Precision validador: 0.0000
Época [44/50] - Perdida entrenamiento: 0.1678, Precision: 0.0000 - Perdida validador: 0.1657, Precision validador: 0.0000
Época [45/50] - Perdida entrenamiento: 0.1769, Precision: 0.0000 - Perdida validador: 0.1636, Precision validador: 0.0000
Época [46/50] - Perdida entrenamiento: 0.1712, Precision: 0.0000 - Perdida validador: 0.1639, Precision validador: 0.0000
Época [47/50] - Perdida entrenamiento: 0.1667, Precision: 0.0000 - Perdida validador: 0.1642, Precision validador: 0.0000
Época [48/50] - Perdida entrenamiento: 0.1766, Precision: 0.0000 - Perdida validador: 0.1644, Precision validador: 0.0000
Época [49/50] - Perdida entrenamiento: 0.1769, Precision: 0.0000 - Perdida validador: 0.1636, Precision validador: 0.0000
Época [50/50] - Perdida entrenamiento: 0.1657, Precision: 0.0000 - Perdida validador: 0.1651, Precision validador: 0.0000
