Época [1/50] - Perdida entrenamiento: 3196.0208, Precision: 0.0031 - Perdida validador: 943.1112, Precision validador: 0.0000
Época [2/50] - Perdida entrenamiento: 466.2443, Precision: 0.0078 - Perdida validador: 486.6214, Precision validador: 0.0120
Época [3/50] - Perdida entrenamiento: 247.3719, Precision: 0.0031 - Perdida validador: 233.1412, Precision validador: 0.0096
Época [4/50] - Perdida entrenamiento: 166.1908, Precision: 0.0078 - Perdida validador: 171.2067, Precision validador: 0.0124
Época [5/50] - Perdida entrenamiento: 123.2045, Precision: 0.0094 - Perdida validador: 135.1219, Precision validador: 0.0144
Época [6/50] - Perdida entrenamiento: 112.8102, Precision: 0.0063 - Perdida validador: 149.8109, Precision validador: 0.0048
Época [7/50] - Perdida entrenamiento: 108.0854, Precision: 0.0000 - Perdida validador: 107.7368, Precision validador: 0.0048
Época [8/50] - Perdida entrenamiento: 96.8586, Precision: 0.0094 - Perdida validador: 148.1596, Precision validador: 0.0048
Época [9/50] - Perdida entrenamiento: 89.4581, Precision: 0.0109 - Perdida validador: 95.5712, Precision validador: 0.0100
Época [10/50] - Perdida entrenamiento: 73.5467, Precision: 0.0078 - Perdida validador: 94.6924, Precision validador: 0.0096
Época [11/50] - Perdida entrenamiento: 75.7539, Precision: 0.0094 - Perdida validador: 96.2854, Precision validador: 0.0168
Época [12/50] - Perdida entrenamiento: 85.3716, Precision: 0.0016 - Perdida validador: 78.4426, Precision validador: 0.0124
Época [13/50] - Perdida entrenamiento: 83.1876, Precision: 0.0141 - Perdida validador: 89.1030, Precision validador: 0.0240
Época [14/50] - Perdida entrenamiento: 99.8674, Precision: 0.0078 - Perdida validador: 91.7520, Precision validador: 0.0216
Época [15/50] - Perdida entrenamiento: 70.0108, Precision: 0.0175 - Perdida validador: 98.4281, Precision validador: 0.0172
Época [16/50] - Perdida entrenamiento: 81.5530, Precision: 0.0094 - Perdida validador: 92.0855, Precision validador: 0.0168
Época [17/50] - Perdida entrenamiento: 71.8270, Precision: 0.0144 - Perdida validador: 78.4828, Precision validador: 0.0120
