Época [1/150] - Perdida entrenamiento: 7504.6383, Precision: 0.0000 - Perdida validador: 1439.0500, Precision validador: 0.0000
Época [2/150] - Perdida entrenamiento: 712.1867, Precision: 0.0063 - Perdida validador: 559.5244, Precision validador: 0.0072
Época [3/150] - Perdida entrenamiento: 298.3130, Precision: 0.0094 - Perdida validador: 201.3384, Precision validador: 0.0024
Época [4/150] - Perdida entrenamiento: 163.6334, Precision: 0.0094 - Perdida validador: 170.0164, Precision validador: 0.0072
Época [5/150] - Perdida entrenamiento: 141.2206, Precision: 0.0031 - Perdida validador: 150.5791, Precision validador: 0.0072
Época [6/150] - Perdida entrenamiento: 124.7121, Precision: 0.0031 - Perdida validador: 147.1342, Precision validador: 0.0024
Época [7/150] - Perdida entrenamiento: 117.5736, Precision: 0.0063 - Perdida validador: 141.8297, Precision validador: 0.0144
Época [8/150] - Perdida entrenamiento: 130.7870, Precision: 0.0063 - Perdida validador: 129.2776, Precision validador: 0.0027
Época [9/150] - Perdida entrenamiento: 112.0289, Precision: 0.0109 - Perdida validador: 147.8357, Precision validador: 0.0052
Época [10/150] - Perdida entrenamiento: 117.7228, Precision: 0.0094 - Perdida validador: 117.4809, Precision validador: 0.0072
Época [11/150] - Perdida entrenamiento: 117.5947, Precision: 0.0031 - Perdida validador: 122.7864, Precision validador: 0.0024
Época [12/150] - Perdida entrenamiento: 105.6499, Precision: 0.0063 - Perdida validador: 105.3737, Precision validador: 0.0148
Época [13/150] - Perdida entrenamiento: 85.3406, Precision: 0.0125 - Perdida validador: 101.0415, Precision validador: 0.0024
Época [14/150] - Perdida entrenamiento: 79.9302, Precision: 0.0078 - Perdida validador: 96.4531, Precision validador: 0.0096
Época [15/150] - Perdida entrenamiento: 86.4374, Precision: 0.0109 - Perdida validador: 94.1978, Precision validador: 0.0072
Época [16/150] - Perdida entrenamiento: 81.4964, Precision: 0.0063 - Perdida validador: 85.2400, Precision validador: 0.0096
Época [17/150] - Perdida entrenamiento: 69.3889, Precision: 0.0063 - Perdida validador: 91.1142, Precision validador: 0.0076
Época [18/150] - Perdida entrenamiento: 68.8867, Precision: 0.0094 - Perdida validador: 81.7517, Precision validador: 0.0096
Época [19/150] - Perdida entrenamiento: 66.9134, Precision: 0.0063 - Perdida validador: 100.4816, Precision validador: 0.0048
Época [20/150] - Perdida entrenamiento: 66.4587, Precision: 0.0063 - Perdida validador: 126.7248, Precision validador: 0.0052
Época [21/150] - Perdida entrenamiento: 90.9775, Precision: 0.0047 - Perdida validador: 117.3042, Precision validador: 0.0072
Época [22/150] - Perdida entrenamiento: 92.0797, Precision: 0.0063 - Perdida validador: 139.0069, Precision validador: 0.0096
Época [23/150] - Perdida entrenamiento: 73.2485, Precision: 0.0094 - Perdida validador: 89.5714, Precision validador: 0.0048
Época [24/150] - Perdida entrenamiento: 61.9218, Precision: 0.0125 - Perdida validador: 70.6497, Precision validador: 0.0144
Época [25/150] - Perdida entrenamiento: 58.1168, Precision: 0.0109 - Perdida validador: 77.8997, Precision validador: 0.0251
Época [26/150] - Perdida entrenamiento: 53.0569, Precision: 0.0203 - Perdida validador: 77.1479, Precision validador: 0.0072
Época [27/150] - Perdida entrenamiento: 57.3846, Precision: 0.0078 - Perdida validador: 83.1894, Precision validador: 0.0024
Época [28/150] - Perdida entrenamiento: 52.8872, Precision: 0.0094 - Perdida validador: 63.0221, Precision validador: 0.0076
Época [29/150] - Perdida entrenamiento: 49.7277, Precision: 0.0125 - Perdida validador: 64.5842, Precision validador: 0.0120
