Época [1/50] - Perdida entrenamiento: 579.8042, Precision: 0.0063 - Perdida validador: 348.6264, Precision validador: 0.0096
Época [2/50] - Perdida entrenamiento: 257.4494, Precision: 0.0016 - Perdida validador: 225.6899, Precision validador: 0.0048
Época [3/50] - Perdida entrenamiento: 196.7780, Precision: 0.0031 - Perdida validador: 188.0152, Precision validador: 0.0000
Época [4/50] - Perdida entrenamiento: 152.5411, Precision: 0.0063 - Perdida validador: 164.6298, Precision validador: 0.0024
Época [5/50] - Perdida entrenamiento: 135.2377, Precision: 0.0063 - Perdida validador: 195.3816, Precision validador: 0.0000
Época [6/50] - Perdida entrenamiento: 141.4458, Precision: 0.0094 - Perdida validador: 134.4116, Precision validador: 0.0100
Época [7/50] - Perdida entrenamiento: 121.3927, Precision: 0.0063 - Perdida validador: 132.7566, Precision validador: 0.0000
Época [8/50] - Perdida entrenamiento: 122.0733, Precision: 0.0047 - Perdida validador: 170.9362, Precision validador: 0.0052
Época [9/50] - Perdida entrenamiento: 132.8884, Precision: 0.0047 - Perdida validador: 130.2359, Precision validador: 0.0048
Época [10/50] - Perdida entrenamiento: 117.4603, Precision: 0.0094 - Perdida validador: 132.0970, Precision validador: 0.0048
Época [11/50] - Perdida entrenamiento: 112.1751, Precision: 0.0047 - Perdida validador: 128.2955, Precision validador: 0.0024
Época [12/50] - Perdida entrenamiento: 113.2405, Precision: 0.0141 - Perdida validador: 121.8339, Precision validador: 0.0048
Época [13/50] - Perdida entrenamiento: 113.4083, Precision: 0.0016 - Perdida validador: 120.4887, Precision validador: 0.0048
Época [14/50] - Perdida entrenamiento: 109.7891, Precision: 0.0063 - Perdida validador: 136.4965, Precision validador: 0.0048
Época [15/50] - Perdida entrenamiento: 115.6160, Precision: 0.0078 - Perdida validador: 121.5861, Precision validador: 0.0144
Época [16/50] - Perdida entrenamiento: 106.3158, Precision: 0.0109 - Perdida validador: 120.9951, Precision validador: 0.0192
Época [17/50] - Perdida entrenamiento: 109.1902, Precision: 0.0078 - Perdida validador: 125.2374, Precision validador: 0.0024
Época [18/50] - Perdida entrenamiento: 117.4869, Precision: 0.0094 - Perdida validador: 137.7998, Precision validador: 0.0120
Época [19/50] - Perdida entrenamiento: 117.6638, Precision: 0.0063 - Perdida validador: 125.7384, Precision validador: 0.0124
Época [20/50] - Perdida entrenamiento: 118.9353, Precision: 0.0125 - Perdida validador: 118.8143, Precision validador: 0.0072
Época [21/50] - Perdida entrenamiento: 110.2714, Precision: 0.0016 - Perdida validador: 118.1957, Precision validador: 0.0024
Época [22/50] - Perdida entrenamiento: 106.5764, Precision: 0.0094 - Perdida validador: 130.3058, Precision validador: 0.0048
Época [23/50] - Perdida entrenamiento: 107.8459, Precision: 0.0016 - Perdida validador: 127.6459, Precision validador: 0.0100
Época [24/50] - Perdida entrenamiento: 113.0079, Precision: 0.0047 - Perdida validador: 119.8648, Precision validador: 0.0096
Época [25/50] - Perdida entrenamiento: 114.3914, Precision: 0.0063 - Perdida validador: 116.4676, Precision validador: 0.0096
Época [26/50] - Perdida entrenamiento: 101.0488, Precision: 0.0078 - Perdida validador: 113.0655, Precision validador: 0.0124
Época [27/50] - Perdida entrenamiento: 91.5336, Precision: 0.0113 - Perdida validador: 125.8836, Precision validador: 0.0148
Época [28/50] - Perdida entrenamiento: 99.8942, Precision: 0.0156 - Perdida validador: 103.8808, Precision validador: 0.0052
Época [29/50] - Perdida entrenamiento: 87.7189, Precision: 0.0047 - Perdida validador: 96.8319, Precision validador: 0.0072
Época [30/50] - Perdida entrenamiento: 90.7849, Precision: 0.0063 - Perdida validador: 100.2381, Precision validador: 0.0072
Época [31/50] - Perdida entrenamiento: 78.7383, Precision: 0.0094 - Perdida validador: 96.7909, Precision validador: 0.0048
Época [32/50] - Perdida entrenamiento: 74.3037, Precision: 0.0094 - Perdida validador: 85.7535, Precision validador: 0.0168
Época [33/50] - Perdida entrenamiento: 78.5854, Precision: 0.0047 - Perdida validador: 87.2100, Precision validador: 0.0144
Época [34/50] - Perdida entrenamiento: 71.2706, Precision: 0.0094 - Perdida validador: 103.0451, Precision validador: 0.0048
Época [35/50] - Perdida entrenamiento: 73.7508, Precision: 0.0094 - Perdida validador: 77.0653, Precision validador: 0.0048
Época [36/50] - Perdida entrenamiento: 64.6272, Precision: 0.0109 - Perdida validador: 83.5304, Precision validador: 0.0076
Época [37/50] - Perdida entrenamiento: 60.2480, Precision: 0.0125 - Perdida validador: 71.1500, Precision validador: 0.0124
Época [38/50] - Perdida entrenamiento: 58.9639, Precision: 0.0094 - Perdida validador: 68.4841, Precision validador: 0.0120
Época [39/50] - Perdida entrenamiento: 60.8051, Precision: 0.0159 - Perdida validador: 68.4185, Precision validador: 0.0124
Época [40/50] - Perdida entrenamiento: 57.3503, Precision: 0.0172 - Perdida validador: 74.2428, Precision validador: 0.0027
Época [41/50] - Perdida entrenamiento: 62.3134, Precision: 0.0109 - Perdida validador: 68.4636, Precision validador: 0.0172
Época [42/50] - Perdida entrenamiento: 52.8165, Precision: 0.0156 - Perdida validador: 62.8223, Precision validador: 0.0168
Época [43/50] - Perdida entrenamiento: 51.3879, Precision: 0.0141 - Perdida validador: 74.9234, Precision validador: 0.0048
Época [44/50] - Perdida entrenamiento: 60.7340, Precision: 0.0063 - Perdida validador: 64.7676, Precision validador: 0.0148
Época [45/50] - Perdida entrenamiento: 55.5295, Precision: 0.0125 - Perdida validador: 69.2157, Precision validador: 0.0072
Época [46/50] - Perdida entrenamiento: 52.5747, Precision: 0.0234 - Perdida validador: 58.5912, Precision validador: 0.0144
Época [47/50] - Perdida entrenamiento: 51.6320, Precision: 0.0219 - Perdida validador: 57.3910, Precision validador: 0.0144
Época [48/50] - Perdida entrenamiento: 56.4223, Precision: 0.0094 - Perdida validador: 84.3783, Precision validador: 0.0100
Época [49/50] - Perdida entrenamiento: 52.9544, Precision: 0.0094 - Perdida validador: 57.7636, Precision validador: 0.0100
Época [50/50] - Perdida entrenamiento: 55.2281, Precision: 0.0078 - Perdida validador: 84.2618, Precision validador: 0.0048
