Época [1/150] - Perdida entrenamiento: 9141.7049, Precision: 0.0000 - Perdida validador: 2169.3437, Precision validador: 0.0000
Época [2/150] - Perdida entrenamiento: 991.2919, Precision: 0.0016 - Perdida validador: 637.3100, Precision validador: 0.0072
Época [3/150] - Perdida entrenamiento: 316.7005, Precision: 0.0047 - Perdida validador: 270.3921, Precision validador: 0.0000
Época [4/150] - Perdida entrenamiento: 199.8583, Precision: 0.0078 - Perdida validador: 197.6504, Precision validador: 0.0072
Época [5/150] - Perdida entrenamiento: 158.8180, Precision: 0.0109 - Perdida validador: 180.0957, Precision validador: 0.0124
Época [6/150] - Perdida entrenamiento: 143.6715, Precision: 0.0078 - Perdida validador: 175.4004, Precision validador: 0.0076
Época [7/150] - Perdida entrenamiento: 139.1402, Precision: 0.0031 - Perdida validador: 153.7932, Precision validador: 0.0024
Época [8/150] - Perdida entrenamiento: 129.6143, Precision: 0.0063 - Perdida validador: 144.7238, Precision validador: 0.0048
Época [9/150] - Perdida entrenamiento: 124.6325, Precision: 0.0078 - Perdida validador: 139.9990, Precision validador: 0.0072
Época [10/150] - Perdida entrenamiento: 115.8693, Precision: 0.0047 - Perdida validador: 132.7904, Precision validador: 0.0072
Época [11/150] - Perdida entrenamiento: 112.5657, Precision: 0.0063 - Perdida validador: 126.1656, Precision validador: 0.0048
Época [12/150] - Perdida entrenamiento: 104.7495, Precision: 0.0094 - Perdida validador: 121.6468, Precision validador: 0.0048
Época [13/150] - Perdida entrenamiento: 99.2206, Precision: 0.0031 - Perdida validador: 122.2856, Precision validador: 0.0096
Época [14/150] - Perdida entrenamiento: 96.7548, Precision: 0.0063 - Perdida validador: 109.8142, Precision validador: 0.0096
Época [15/150] - Perdida entrenamiento: 92.4778, Precision: 0.0063 - Perdida validador: 104.9980, Precision validador: 0.0072
Época [16/150] - Perdida entrenamiento: 86.1045, Precision: 0.0078 - Perdida validador: 104.6937, Precision validador: 0.0072
Época [17/150] - Perdida entrenamiento: 80.8529, Precision: 0.0047 - Perdida validador: 95.5515, Precision validador: 0.0024
Época [18/150] - Perdida entrenamiento: 76.0877, Precision: 0.0175 - Perdida validador: 90.5312, Precision validador: 0.0144
Época [19/150] - Perdida entrenamiento: 72.8742, Precision: 0.0094 - Perdida validador: 88.3504, Precision validador: 0.0096
Época [20/150] - Perdida entrenamiento: 71.5250, Precision: 0.0031 - Perdida validador: 85.5655, Precision validador: 0.0072
Época [21/150] - Perdida entrenamiento: 65.7020, Precision: 0.0125 - Perdida validador: 84.3567, Precision validador: 0.0024
Época [22/150] - Perdida entrenamiento: 75.5680, Precision: 0.0128 - Perdida validador: 82.3732, Precision validador: 0.0096
Época [23/150] - Perdida entrenamiento: 67.0179, Precision: 0.0125 - Perdida validador: 78.8273, Precision validador: 0.0096
Época [24/150] - Perdida entrenamiento: 65.9119, Precision: 0.0141 - Perdida validador: 81.1550, Precision validador: 0.0072
Época [25/150] - Perdida entrenamiento: 63.0047, Precision: 0.0109 - Perdida validador: 86.1728, Precision validador: 0.0096
Época [26/150] - Perdida entrenamiento: 61.1149, Precision: 0.0238 - Perdida validador: 82.4051, Precision validador: 0.0096
Época [27/150] - Perdida entrenamiento: 63.1236, Precision: 0.0109 - Perdida validador: 86.5345, Precision validador: 0.0048
Época [28/150] - Perdida entrenamiento: 69.7960, Precision: 0.0094 - Perdida validador: 74.6044, Precision validador: 0.0048
Época [29/150] - Perdida entrenamiento: 64.4631, Precision: 0.0078 - Perdida validador: 74.0659, Precision validador: 0.0072
Época [30/150] - Perdida entrenamiento: 58.9354, Precision: 0.0094 - Perdida validador: 74.9564, Precision validador: 0.0076
Época [31/150] - Perdida entrenamiento: 55.2434, Precision: 0.0125 - Perdida validador: 84.7449, Precision validador: 0.0120
Época [32/150] - Perdida entrenamiento: 58.0428, Precision: 0.0109 - Perdida validador: 73.4794, Precision validador: 0.0096
Época [33/150] - Perdida entrenamiento: 55.1681, Precision: 0.0078 - Perdida validador: 69.7355, Precision validador: 0.0024
Época [34/150] - Perdida entrenamiento: 55.3947, Precision: 0.0094 - Perdida validador: 67.9768, Precision validador: 0.0024
Época [35/150] - Perdida entrenamiento: 54.4319, Precision: 0.0187 - Perdida validador: 79.8093, Precision validador: 0.0024
Época [36/150] - Perdida entrenamiento: 56.1871, Precision: 0.0113 - Perdida validador: 70.8181, Precision validador: 0.0000
Época [37/150] - Perdida entrenamiento: 57.3265, Precision: 0.0125 - Perdida validador: 69.5510, Precision validador: 0.0024
Época [38/150] - Perdida entrenamiento: 52.2951, Precision: 0.0156 - Perdida validador: 66.6665, Precision validador: 0.0048
Época [39/150] - Perdida entrenamiento: 64.4861, Precision: 0.0078 - Perdida validador: 66.2595, Precision validador: 0.0000
Época [40/150] - Perdida entrenamiento: 50.9991, Precision: 0.0159 - Perdida validador: 70.8529, Precision validador: 0.0148
Época [41/150] - Perdida entrenamiento: 55.6716, Precision: 0.0063 - Perdida validador: 112.4905, Precision validador: 0.0000
Época [42/150] - Perdida entrenamiento: 59.8715, Precision: 0.0094 - Perdida validador: 86.0241, Precision validador: 0.0052
Época [43/150] - Perdida entrenamiento: 54.8404, Precision: 0.0109 - Perdida validador: 63.6159, Precision validador: 0.0048
Época [44/150] - Perdida entrenamiento: 48.4976, Precision: 0.0144 - Perdida validador: 60.4162, Precision validador: 0.0096
Época [45/150] - Perdida entrenamiento: 58.9759, Precision: 0.0094 - Perdida validador: 62.6383, Precision validador: 0.0096
Época [46/150] - Perdida entrenamiento: 50.2613, Precision: 0.0141 - Perdida validador: 61.0963, Precision validador: 0.0148
Época [47/150] - Perdida entrenamiento: 50.6970, Precision: 0.0094 - Perdida validador: 59.7108, Precision validador: 0.0172
Época [48/150] - Perdida entrenamiento: 52.1021, Precision: 0.0078 - Perdida validador: 66.1912, Precision validador: 0.0096
Época [49/150] - Perdida entrenamiento: 53.7356, Precision: 0.0172 - Perdida validador: 70.8569, Precision validador: 0.0120
Época [50/150] - Perdida entrenamiento: 47.6364, Precision: 0.0141 - Perdida validador: 78.9708, Precision validador: 0.0024
Época [51/150] - Perdida entrenamiento: 55.5254, Precision: 0.0063 - Perdida validador: 76.3787, Precision validador: 0.0024
Época [52/150] - Perdida entrenamiento: 55.7520, Precision: 0.0078 - Perdida validador: 56.0068, Precision validador: 0.0072
Época [53/150] - Perdida entrenamiento: 46.6107, Precision: 0.0109 - Perdida validador: 64.9307, Precision validador: 0.0048
Época [54/150] - Perdida entrenamiento: 61.1292, Precision: 0.0094 - Perdida validador: 59.3482, Precision validador: 0.0172
Época [55/150] - Perdida entrenamiento: 49.5921, Precision: 0.0156 - Perdida validador: 62.2599, Precision validador: 0.0144
Época [56/150] - Perdida entrenamiento: 52.6516, Precision: 0.0047 - Perdida validador: 58.3601, Precision validador: 0.0048
Época [57/150] - Perdida entrenamiento: 49.1095, Precision: 0.0156 - Perdida validador: 56.0215, Precision validador: 0.0072
Época [58/150] - Perdida entrenamiento: 44.6135, Precision: 0.0031 - Perdida validador: 76.6842, Precision validador: 0.0192
Época [59/150] - Perdida entrenamiento: 56.9109, Precision: 0.0097 - Perdida validador: 113.5972, Precision validador: 0.0072
Época [60/150] - Perdida entrenamiento: 59.9641, Precision: 0.0156 - Perdida validador: 60.8818, Precision validador: 0.0048
Época [61/150] - Perdida entrenamiento: 48.1593, Precision: 0.0125 - Perdida validador: 73.7494, Precision validador: 0.0144
Época [62/150] - Perdida entrenamiento: 55.1581, Precision: 0.0175 - Perdida validador: 53.4549, Precision validador: 0.0151
Época [63/150] - Perdida entrenamiento: 43.1441, Precision: 0.0141 - Perdida validador: 53.6417, Precision validador: 0.0120
Época [64/150] - Perdida entrenamiento: 41.7553, Precision: 0.0125 - Perdida validador: 52.6867, Precision validador: 0.0024
Época [65/150] - Perdida entrenamiento: 46.4144, Precision: 0.0172 - Perdida validador: 65.0503, Precision validador: 0.0144
Época [66/150] - Perdida entrenamiento: 43.2505, Precision: 0.0109 - Perdida validador: 53.7439, Precision validador: 0.0120
Época [67/150] - Perdida entrenamiento: 47.6986, Precision: 0.0109 - Perdida validador: 99.7743, Precision validador: 0.0024
Época [68/150] - Perdida entrenamiento: 53.4794, Precision: 0.0063 - Perdida validador: 55.7861, Precision validador: 0.0144
Época [69/150] - Perdida entrenamiento: 53.0739, Precision: 0.0187 - Perdida validador: 61.6572, Precision validador: 0.0024
Época [70/150] - Perdida entrenamiento: 50.1891, Precision: 0.0141 - Perdida validador: 98.7318, Precision validador: 0.0024
Época [71/150] - Perdida entrenamiento: 60.4831, Precision: 0.0063 - Perdida validador: 56.2640, Precision validador: 0.0144
Época [72/150] - Perdida entrenamiento: 48.6509, Precision: 0.0109 - Perdida validador: 56.8959, Precision validador: 0.0072
Época [73/150] - Perdida entrenamiento: 46.3038, Precision: 0.0094 - Perdida validador: 82.6810, Precision validador: 0.0024
Época [74/150] - Perdida entrenamiento: 57.1821, Precision: 0.0125 - Perdida validador: 70.2097, Precision validador: 0.0096
Época [75/150] - Perdida entrenamiento: 59.9893, Precision: 0.0141 - Perdida validador: 53.2726, Precision validador: 0.0076
Época [76/150] - Perdida entrenamiento: 55.5551, Precision: 0.0078 - Perdida validador: 69.0390, Precision validador: 0.0076
Época [77/150] - Perdida entrenamiento: 46.3958, Precision: 0.0125 - Perdida validador: 58.1292, Precision validador: 0.0127
Época [78/150] - Perdida entrenamiento: 48.5133, Precision: 0.0141 - Perdida validador: 56.1679, Precision validador: 0.0240
Época [79/150] - Perdida entrenamiento: 48.1980, Precision: 0.0144 - Perdida validador: 60.2832, Precision validador: 0.0120
Época [80/150] - Perdida entrenamiento: 45.4974, Precision: 0.0094 - Perdida validador: 51.6004, Precision validador: 0.0168
Época [81/150] - Perdida entrenamiento: 46.2559, Precision: 0.0187 - Perdida validador: 72.3639, Precision validador: 0.0192
Época [82/150] - Perdida entrenamiento: 59.7060, Precision: 0.0141 - Perdida validador: 60.1654, Precision validador: 0.0076
Época [83/150] - Perdida entrenamiento: 43.9921, Precision: 0.0078 - Perdida validador: 49.4511, Precision validador: 0.0168
Época [84/150] - Perdida entrenamiento: 47.6993, Precision: 0.0141 - Perdida validador: 71.2805, Precision validador: 0.0072
Época [85/150] - Perdida entrenamiento: 61.5576, Precision: 0.0144 - Perdida validador: 64.4005, Precision validador: 0.0072
Época [86/150] - Perdida entrenamiento: 42.9172, Precision: 0.0172 - Perdida validador: 54.5357, Precision validador: 0.0175
Época [87/150] - Perdida entrenamiento: 41.8303, Precision: 0.0234 - Perdida validador: 86.5559, Precision validador: 0.0024
Época [88/150] - Perdida entrenamiento: 50.3013, Precision: 0.0094 - Perdida validador: 56.4476, Precision validador: 0.0120
Época [89/150] - Perdida entrenamiento: 47.1182, Precision: 0.0156 - Perdida validador: 60.9846, Precision validador: 0.0120
Época [90/150] - Perdida entrenamiento: 45.8531, Precision: 0.0094 - Perdida validador: 52.5991, Precision validador: 0.0240
Época [91/150] - Perdida entrenamiento: 44.9507, Precision: 0.0063 - Perdida validador: 50.0641, Precision validador: 0.0196
Época [92/150] - Perdida entrenamiento: 44.7780, Precision: 0.0125 - Perdida validador: 51.1799, Precision validador: 0.0096
Época [93/150] - Perdida entrenamiento: 44.2268, Precision: 0.0063 - Perdida validador: 91.6443, Precision validador: 0.0096
Época [94/150] - Perdida entrenamiento: 46.7162, Precision: 0.0203 - Perdida validador: 51.0915, Precision validador: 0.0072
Época [95/150] - Perdida entrenamiento: 43.0970, Precision: 0.0109 - Perdida validador: 58.3058, Precision validador: 0.0168
Época [96/150] - Perdida entrenamiento: 38.3091, Precision: 0.0109 - Perdida validador: 61.3671, Precision validador: 0.0024
Época [97/150] - Perdida entrenamiento: 44.9198, Precision: 0.0172 - Perdida validador: 66.8286, Precision validador: 0.0024
Época [98/150] - Perdida entrenamiento: 61.1544, Precision: 0.0125 - Perdida validador: 64.4785, Precision validador: 0.0168
Época [99/150] - Perdida entrenamiento: 66.7157, Precision: 0.0109 - Perdida validador: 56.5098, Precision validador: 0.0288
Época [100/150] - Perdida entrenamiento: 43.3214, Precision: 0.0109 - Perdida validador: 52.6273, Precision validador: 0.0120
Época [101/150] - Perdida entrenamiento: 43.6044, Precision: 0.0109 - Perdida validador: 61.3454, Precision validador: 0.0076
