Época [1/150] - Perdida entrenamiento: 3515.6273, Precision: 0.0000 - Perdida validador: 346.6805, Precision validador: 0.0024
Época [2/150] - Perdida entrenamiento: 426.7055, Precision: 0.0000 - Perdida validador: 244.7001, Precision validador: 0.0072
Época [3/150] - Perdida entrenamiento: 188.1518, Precision: 0.0047 - Perdida validador: 211.8766, Precision validador: 0.0072
Época [4/150] - Perdida entrenamiento: 163.2987, Precision: 0.0078 - Perdida validador: 161.4873, Precision validador: 0.0000
Época [5/150] - Perdida entrenamiento: 134.8806, Precision: 0.0047 - Perdida validador: 145.5914, Precision validador: 0.0000
Época [6/150] - Perdida entrenamiento: 131.4660, Precision: 0.0078 - Perdida validador: 134.9080, Precision validador: 0.0096
Época [7/150] - Perdida entrenamiento: 118.8259, Precision: 0.0047 - Perdida validador: 130.4781, Precision validador: 0.0072
Época [8/150] - Perdida entrenamiento: 112.9637, Precision: 0.0094 - Perdida validador: 122.1412, Precision validador: 0.0096
Época [9/150] - Perdida entrenamiento: 110.9808, Precision: 0.0078 - Perdida validador: 128.6779, Precision validador: 0.0076
Época [10/150] - Perdida entrenamiento: 101.6557, Precision: 0.0109 - Perdida validador: 118.8089, Precision validador: 0.0048
Época [11/150] - Perdida entrenamiento: 108.5070, Precision: 0.0078 - Perdida validador: 103.4489, Precision validador: 0.0072
Época [12/150] - Perdida entrenamiento: 95.2345, Precision: 0.0078 - Perdida validador: 103.1667, Precision validador: 0.0096
Época [13/150] - Perdida entrenamiento: 87.5521, Precision: 0.0047 - Perdida validador: 106.3568, Precision validador: 0.0120
Época [14/150] - Perdida entrenamiento: 81.5032, Precision: 0.0094 - Perdida validador: 93.5861, Precision validador: 0.0120
Época [15/150] - Perdida entrenamiento: 73.4704, Precision: 0.0063 - Perdida validador: 85.5808, Precision validador: 0.0076
Época [16/150] - Perdida entrenamiento: 68.0171, Precision: 0.0063 - Perdida validador: 78.2828, Precision validador: 0.0048
Época [17/150] - Perdida entrenamiento: 61.9969, Precision: 0.0094 - Perdida validador: 88.4782, Precision validador: 0.0196
Época [18/150] - Perdida entrenamiento: 65.4985, Precision: 0.0078 - Perdida validador: 93.3053, Precision validador: 0.0052
Época [19/150] - Perdida entrenamiento: 61.2351, Precision: 0.0109 - Perdida validador: 67.7386, Precision validador: 0.0192
Época [20/150] - Perdida entrenamiento: 56.3339, Precision: 0.0172 - Perdida validador: 68.2901, Precision validador: 0.0048
Época [21/150] - Perdida entrenamiento: 54.8435, Precision: 0.0047 - Perdida validador: 90.9576, Precision validador: 0.0096
Época [22/150] - Perdida entrenamiento: 54.6676, Precision: 0.0109 - Perdida validador: 66.9824, Precision validador: 0.0072
Época [23/150] - Perdida entrenamiento: 55.6178, Precision: 0.0094 - Perdida validador: 58.6607, Precision validador: 0.0127
Época [24/150] - Perdida entrenamiento: 62.5026, Precision: 0.0047 - Perdida validador: 72.5978, Precision validador: 0.0048
Época [25/150] - Perdida entrenamiento: 52.4761, Precision: 0.0203 - Perdida validador: 74.5799, Precision validador: 0.0024
Época [26/150] - Perdida entrenamiento: 55.2047, Precision: 0.0141 - Perdida validador: 61.5611, Precision validador: 0.0048
Época [27/150] - Perdida entrenamiento: 48.2828, Precision: 0.0156 - Perdida validador: 66.8805, Precision validador: 0.0000
Época [28/150] - Perdida entrenamiento: 47.7914, Precision: 0.0078 - Perdida validador: 54.3503, Precision validador: 0.0168
Época [29/150] - Perdida entrenamiento: 53.1086, Precision: 0.0141 - Perdida validador: 56.3006, Precision validador: 0.0024
Época [30/150] - Perdida entrenamiento: 45.6521, Precision: 0.0156 - Perdida validador: 80.4017, Precision validador: 0.0120
Época [31/150] - Perdida entrenamiento: 54.3958, Precision: 0.0159 - Perdida validador: 54.1335, Precision validador: 0.0144
Época [32/150] - Perdida entrenamiento: 44.4992, Precision: 0.0141 - Perdida validador: 61.6566, Precision validador: 0.0048
Época [33/150] - Perdida entrenamiento: 45.3309, Precision: 0.0047 - Perdida validador: 57.6140, Precision validador: 0.0072
Época [34/150] - Perdida entrenamiento: 49.0050, Precision: 0.0253 - Perdida validador: 54.8011, Precision validador: 0.0144
Época [35/150] - Perdida entrenamiento: 55.7829, Precision: 0.0094 - Perdida validador: 54.8601, Precision validador: 0.0203
Época [36/150] - Perdida entrenamiento: 60.4012, Precision: 0.0206 - Perdida validador: 55.5757, Precision validador: 0.0096
Época [37/150] - Perdida entrenamiento: 44.6116, Precision: 0.0125 - Perdida validador: 73.5647, Precision validador: 0.0072
Época [38/150] - Perdida entrenamiento: 60.0845, Precision: 0.0094 - Perdida validador: 83.7528, Precision validador: 0.0120
Época [39/150] - Perdida entrenamiento: 53.1322, Precision: 0.0113 - Perdida validador: 54.9261, Precision validador: 0.0240
Época [40/150] - Perdida entrenamiento: 48.6871, Precision: 0.0187 - Perdida validador: 64.0316, Precision validador: 0.0048
Época [41/150] - Perdida entrenamiento: 49.9111, Precision: 0.0125 - Perdida validador: 67.8137, Precision validador: 0.0072
Época [42/150] - Perdida entrenamiento: 46.2577, Precision: 0.0203 - Perdida validador: 60.7566, Precision validador: 0.0072
Época [43/150] - Perdida entrenamiento: 50.4142, Precision: 0.0141 - Perdida validador: 89.3831, Precision validador: 0.0000
Época [44/150] - Perdida entrenamiento: 50.0335, Precision: 0.0094 - Perdida validador: 56.0514, Precision validador: 0.0096
Época [45/150] - Perdida entrenamiento: 47.9228, Precision: 0.0078 - Perdida validador: 57.4707, Precision validador: 0.0148
