Época [1/70] - Perdida entrenamiento: 9168.1177, Precision: 0.0050 - Perdida validador: 1382.3536, Precision validador: 0.0000
Época [2/70] - Perdida entrenamiento: 961.0948, Precision: 0.0000 - Perdida validador: 372.6785, Precision validador: 0.0000
Época [3/70] - Perdida entrenamiento: 299.5103, Precision: 0.0016 - Perdida validador: 237.9254, Precision validador: 0.0000
Época [4/70] - Perdida entrenamiento: 178.5749, Precision: 0.0063 - Perdida validador: 221.9618, Precision validador: 0.0024
Época [5/70] - Perdida entrenamiento: 150.0569, Precision: 0.0078 - Perdida validador: 148.5383, Precision validador: 0.0072
Época [6/70] - Perdida entrenamiento: 130.6545, Precision: 0.0016 - Perdida validador: 136.9644, Precision validador: 0.0072
Época [7/70] - Perdida entrenamiento: 118.9578, Precision: 0.0047 - Perdida validador: 131.4498, Precision validador: 0.0000
Época [8/70] - Perdida entrenamiento: 116.4222, Precision: 0.0097 - Perdida validador: 127.7937, Precision validador: 0.0048
Época [9/70] - Perdida entrenamiento: 111.5629, Precision: 0.0078 - Perdida validador: 124.1122, Precision validador: 0.0151
Época [10/70] - Perdida entrenamiento: 113.7805, Precision: 0.0000 - Perdida validador: 126.9998, Precision validador: 0.0024
Época [11/70] - Perdida entrenamiento: 104.7597, Precision: 0.0047 - Perdida validador: 111.2912, Precision validador: 0.0024
Época [12/70] - Perdida entrenamiento: 96.5502, Precision: 0.0047 - Perdida validador: 110.2592, Precision validador: 0.0072
Época [13/70] - Perdida entrenamiento: 95.1312, Precision: 0.0109 - Perdida validador: 102.7529, Precision validador: 0.0144
Época [14/70] - Perdida entrenamiento: 88.7524, Precision: 0.0063 - Perdida validador: 100.5507, Precision validador: 0.0220
Época [15/70] - Perdida entrenamiento: 88.0286, Precision: 0.0109 - Perdida validador: 104.0222, Precision validador: 0.0120
Época [16/70] - Perdida entrenamiento: 92.6288, Precision: 0.0078 - Perdida validador: 92.8747, Precision validador: 0.0100
Época [17/70] - Perdida entrenamiento: 93.5709, Precision: 0.0078 - Perdida validador: 152.4871, Precision validador: 0.0048
Época [18/70] - Perdida entrenamiento: 110.1405, Precision: 0.0125 - Perdida validador: 143.0098, Precision validador: 0.0100
Época [19/70] - Perdida entrenamiento: 78.4244, Precision: 0.0141 - Perdida validador: 88.5547, Precision validador: 0.0168
Época [20/70] - Perdida entrenamiento: 72.8723, Precision: 0.0219 - Perdida validador: 89.0230, Precision validador: 0.0048
Época [21/70] - Perdida entrenamiento: 66.4105, Precision: 0.0109 - Perdida validador: 80.2752, Precision validador: 0.0072
Época [22/70] - Perdida entrenamiento: 67.4166, Precision: 0.0141 - Perdida validador: 119.0913, Precision validador: 0.0100
Época [23/70] - Perdida entrenamiento: 69.2350, Precision: 0.0172 - Perdida validador: 96.8147, Precision validador: 0.0100
Época [24/70] - Perdida entrenamiento: 61.3693, Precision: 0.0172 - Perdida validador: 73.3809, Precision validador: 0.0072
Época [25/70] - Perdida entrenamiento: 54.2111, Precision: 0.0109 - Perdida validador: 69.6605, Precision validador: 0.0096
Época [26/70] - Perdida entrenamiento: 64.7987, Precision: 0.0141 - Perdida validador: 95.9790, Precision validador: 0.0072
Época [27/70] - Perdida entrenamiento: 84.4923, Precision: 0.0047 - Perdida validador: 69.3248, Precision validador: 0.0100
Época [28/70] - Perdida entrenamiento: 59.2183, Precision: 0.0109 - Perdida validador: 82.1779, Precision validador: 0.0124
Época [29/70] - Perdida entrenamiento: 59.4249, Precision: 0.0078 - Perdida validador: 64.4885, Precision validador: 0.0048
Época [30/70] - Perdida entrenamiento: 52.6710, Precision: 0.0016 - Perdida validador: 64.2312, Precision validador: 0.0024
Época [31/70] - Perdida entrenamiento: 53.4849, Precision: 0.0175 - Perdida validador: 65.9879, Precision validador: 0.0148
Época [32/70] - Perdida entrenamiento: 52.3185, Precision: 0.0159 - Perdida validador: 95.5970, Precision validador: 0.0096
Época [33/70] - Perdida entrenamiento: 59.9658, Precision: 0.0141 - Perdida validador: 87.0298, Precision validador: 0.0148
Época [34/70] - Perdida entrenamiento: 63.6445, Precision: 0.0031 - Perdida validador: 61.8202, Precision validador: 0.0124
Época [35/70] - Perdida entrenamiento: 71.3445, Precision: 0.0109 - Perdida validador: 62.6399, Precision validador: 0.0048
Época [36/70] - Perdida entrenamiento: 56.1019, Precision: 0.0109 - Perdida validador: 63.9293, Precision validador: 0.0072
Época [37/70] - Perdida entrenamiento: 50.5184, Precision: 0.0141 - Perdida validador: 65.8248, Precision validador: 0.0048
Época [38/70] - Perdida entrenamiento: 70.0402, Precision: 0.0047 - Perdida validador: 106.2915, Precision validador: 0.0048
Época [39/70] - Perdida entrenamiento: 62.6765, Precision: 0.0128 - Perdida validador: 85.5854, Precision validador: 0.0048
Época [40/70] - Perdida entrenamiento: 66.6118, Precision: 0.0063 - Perdida validador: 69.0810, Precision validador: 0.0144
Época [41/70] - Perdida entrenamiento: 61.2438, Precision: 0.0125 - Perdida validador: 79.5920, Precision validador: 0.0144
Época [42/70] - Perdida entrenamiento: 48.9855, Precision: 0.0172 - Perdida validador: 66.6100, Precision validador: 0.0120
Época [43/70] - Perdida entrenamiento: 47.4082, Precision: 0.0203 - Perdida validador: 58.6457, Precision validador: 0.0120
Época [44/70] - Perdida entrenamiento: 52.8108, Precision: 0.0172 - Perdida validador: 92.7071, Precision validador: 0.0024
Época [45/70] - Perdida entrenamiento: 84.7298, Precision: 0.0078 - Perdida validador: 97.3011, Precision validador: 0.0072
Época [46/70] - Perdida entrenamiento: 79.1959, Precision: 0.0109 - Perdida validador: 133.9165, Precision validador: 0.0024
Época [47/70] - Perdida entrenamiento: 69.1453, Precision: 0.0063 - Perdida validador: 60.7732, Precision validador: 0.0072
Época [48/70] - Perdida entrenamiento: 56.9050, Precision: 0.0125 - Perdida validador: 59.2723, Precision validador: 0.0072
Época [49/70] - Perdida entrenamiento: 45.3473, Precision: 0.0156 - Perdida validador: 55.0899, Precision validador: 0.0168
Época [50/70] - Perdida entrenamiento: 43.9499, Precision: 0.0063 - Perdida validador: 58.8633, Precision validador: 0.0052
Época [51/70] - Perdida entrenamiento: 46.2617, Precision: 0.0094 - Perdida validador: 55.7671, Precision validador: 0.0120
Época [52/70] - Perdida entrenamiento: 61.2387, Precision: 0.0125 - Perdida validador: 103.0391, Precision validador: 0.0072
