Época [1/50] - Perdida entrenamiento: 4155.6327, Precision: 0.0016 - Perdida validador: 378.7182, Precision validador: 0.0127
Época [2/50] - Perdida entrenamiento: 399.1147, Precision: 0.0109 - Perdida validador: 198.6124, Precision validador: 0.0103
Época [3/50] - Perdida entrenamiento: 186.4964, Precision: 0.0109 - Perdida validador: 171.0767, Precision validador: 0.0000
Época [4/50] - Perdida entrenamiento: 153.0643, Precision: 0.0031 - Perdida validador: 149.4061, Precision validador: 0.0024
Época [5/50] - Perdida entrenamiento: 134.4703, Precision: 0.0078 - Perdida validador: 138.5442, Precision validador: 0.0024
Época [6/50] - Perdida entrenamiento: 125.1809, Precision: 0.0031 - Perdida validador: 137.1369, Precision validador: 0.0048
Época [7/50] - Perdida entrenamiento: 124.4024, Precision: 0.0094 - Perdida validador: 128.6201, Precision validador: 0.0072
Época [8/50] - Perdida entrenamiento: 120.4228, Precision: 0.0094 - Perdida validador: 130.4774, Precision validador: 0.0144
Época [9/50] - Perdida entrenamiento: 129.0514, Precision: 0.0000 - Perdida validador: 134.2590, Precision validador: 0.0072
Época [10/50] - Perdida entrenamiento: 113.8138, Precision: 0.0031 - Perdida validador: 130.4088, Precision validador: 0.0072
Época [11/50] - Perdida entrenamiento: 109.3826, Precision: 0.0047 - Perdida validador: 125.6955, Precision validador: 0.0048
Época [12/50] - Perdida entrenamiento: 103.4371, Precision: 0.0063 - Perdida validador: 114.5858, Precision validador: 0.0048
Época [13/50] - Perdida entrenamiento: 103.1662, Precision: 0.0094 - Perdida validador: 112.5856, Precision validador: 0.0072
Época [14/50] - Perdida entrenamiento: 100.8395, Precision: 0.0031 - Perdida validador: 110.0521, Precision validador: 0.0048
Época [15/50] - Perdida entrenamiento: 106.3751, Precision: 0.0078 - Perdida validador: 109.3749, Precision validador: 0.0072
Época [16/50] - Perdida entrenamiento: 106.5730, Precision: 0.0094 - Perdida validador: 125.3485, Precision validador: 0.0072
Época [17/50] - Perdida entrenamiento: 96.8889, Precision: 0.0109 - Perdida validador: 104.8572, Precision validador: 0.0096
Época [18/50] - Perdida entrenamiento: 88.1926, Precision: 0.0078 - Perdida validador: 109.0492, Precision validador: 0.0072
Época [19/50] - Perdida entrenamiento: 99.4317, Precision: 0.0109 - Perdida validador: 127.4766, Precision validador: 0.0096
Época [20/50] - Perdida entrenamiento: 98.4618, Precision: 0.0078 - Perdida validador: 118.3453, Precision validador: 0.0072
Época [21/50] - Perdida entrenamiento: 89.9762, Precision: 0.0063 - Perdida validador: 97.6397, Precision validador: 0.0148
Época [22/50] - Perdida entrenamiento: 78.2323, Precision: 0.0094 - Perdida validador: 94.3295, Precision validador: 0.0072
Época [23/50] - Perdida entrenamiento: 78.6548, Precision: 0.0047 - Perdida validador: 92.1660, Precision validador: 0.0144
Época [24/50] - Perdida entrenamiento: 76.5217, Precision: 0.0128 - Perdida validador: 94.6732, Precision validador: 0.0072
Época [25/50] - Perdida entrenamiento: 74.6000, Precision: 0.0063 - Perdida validador: 89.1830, Precision validador: 0.0144
Época [26/50] - Perdida entrenamiento: 74.8282, Precision: 0.0063 - Perdida validador: 105.5416, Precision validador: 0.0100
Época [27/50] - Perdida entrenamiento: 82.6505, Precision: 0.0063 - Perdida validador: 85.0485, Precision validador: 0.0072
Época [28/50] - Perdida entrenamiento: 79.0134, Precision: 0.0078 - Perdida validador: 126.0371, Precision validador: 0.0027
Época [29/50] - Perdida entrenamiento: 91.0339, Precision: 0.0047 - Perdida validador: 81.5730, Precision validador: 0.0096
Época [30/50] - Perdida entrenamiento: 78.7292, Precision: 0.0094 - Perdida validador: 90.3507, Precision validador: 0.0024
Época [31/50] - Perdida entrenamiento: 66.7196, Precision: 0.0187 - Perdida validador: 82.1131, Precision validador: 0.0096
Época [32/50] - Perdida entrenamiento: 67.9522, Precision: 0.0206 - Perdida validador: 87.7709, Precision validador: 0.0000
Época [33/50] - Perdida entrenamiento: 71.8213, Precision: 0.0109 - Perdida validador: 87.7626, Precision validador: 0.0076
Época [34/50] - Perdida entrenamiento: 61.9195, Precision: 0.0125 - Perdida validador: 73.2106, Precision validador: 0.0096
Época [35/50] - Perdida entrenamiento: 61.3960, Precision: 0.0078 - Perdida validador: 72.2947, Precision validador: 0.0168
Época [36/50] - Perdida entrenamiento: 60.7861, Precision: 0.0187 - Perdida validador: 75.0119, Precision validador: 0.0120
Época [37/50] - Perdida entrenamiento: 67.4182, Precision: 0.0063 - Perdida validador: 69.9529, Precision validador: 0.0271
Época [38/50] - Perdida entrenamiento: 66.2153, Precision: 0.0078 - Perdida validador: 70.7203, Precision validador: 0.0096
Época [39/50] - Perdida entrenamiento: 59.6085, Precision: 0.0109 - Perdida validador: 68.3372, Precision validador: 0.0120
Época [40/50] - Perdida entrenamiento: 61.4231, Precision: 0.0094 - Perdida validador: 67.1440, Precision validador: 0.0124
Época [41/50] - Perdida entrenamiento: 54.4393, Precision: 0.0159 - Perdida validador: 69.7826, Precision validador: 0.0048
Época [42/50] - Perdida entrenamiento: 55.1523, Precision: 0.0125 - Perdida validador: 66.1646, Precision validador: 0.0076
Época [43/50] - Perdida entrenamiento: 55.6649, Precision: 0.0172 - Perdida validador: 78.5405, Precision validador: 0.0024
Época [44/50] - Perdida entrenamiento: 56.7721, Precision: 0.0047 - Perdida validador: 84.0240, Precision validador: 0.0216
Época [45/50] - Perdida entrenamiento: 53.6042, Precision: 0.0094 - Perdida validador: 66.2900, Precision validador: 0.0120
Época [46/50] - Perdida entrenamiento: 54.7239, Precision: 0.0078 - Perdida validador: 66.7653, Precision validador: 0.0048
Época [47/50] - Perdida entrenamiento: 54.4762, Precision: 0.0125 - Perdida validador: 62.3398, Precision validador: 0.0192
Época [48/50] - Perdida entrenamiento: 52.9328, Precision: 0.0175 - Perdida validador: 65.4661, Precision validador: 0.0096
Época [49/50] - Perdida entrenamiento: 52.8283, Precision: 0.0031 - Perdida validador: 60.7349, Precision validador: 0.0144
Época [50/50] - Perdida entrenamiento: 48.3803, Precision: 0.0125 - Perdida validador: 59.2124, Precision validador: 0.0168
